http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199340057.001.0001/actrade-9780199340057,vs40057
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199730070.001.0001/actrade-9780199730070,vs30070
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199340071.001.0001/actrade-9780199340071,vs40071
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780195300079.001.0001/actrade-9780195300079,vs00079
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780190280147.001.0001/actrade-9780190280147,vs80147
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199550203.001.0001/actrade-9780199550203,vs50203
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780195300208.001.0001/actrade-9780195300208,vs00208
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199560233.001.0001/actrade-9780199560233,vs60233
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199560240.001.0001/actrade-9780199560240,vs60240
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199760275.001.0001/actrade-9780199760275,vs60275
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199760282.001.0001/actrade-9780199760282,vs60282
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780195310306.001.0001/actrade-9780195310306,vs10306
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199680306.001.0001/actrade-9780199680306,vs80306
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199670413.001.0001/actrade-9780199670413,vs70413
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199670420.001.0001/actrade-9780199670420,vs70420
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199670437.001.0001/actrade-9780199670437,vs70437
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199660445.001.0001/actrade-9780199660445,vs60445
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199340491.001.0001/actrade-9780199340491,vs40491
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199560516.001.0001/actrade-9780199560516,vs60516
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199670543.001.0001/actrade-9780199670543,vs70543
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199740550.001.0001/actrade-9780199740550,vs40550
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199790586.001.0001/actrade-9780199790586,vs90586
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199670598.001.0001/actrade-9780199670598,vs70598
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199590599.001.0001/actrade-9780199590599,vs90599
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199590605.001.0001/actrade-9780199590605,vs90605
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199580699.001.0001/actrade-9780199580699,vs80699
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199730766.001.0001/actrade-9780199730766,vs30766
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199230792.001.0001/actrade-9780199230792,vs30792
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780195370874.001.0001/actrade-9780195370874,vs70874
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199840892.001.0001/actrade-9780199840892,vs40892
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199540907.001.0001/actrade-9780199540907,vs40907
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780192840943.001.0001/actrade-9780192840943,vs40943
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780192840950.001.0001/actrade-9780192840950,vs40950
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199590964.001.0001/actrade-9780199590964,vs90964
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199330966.001.0001/actrade-9780199330966,vs30966
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199560974.001.0001/actrade-9780199560974,vs60974
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780192840981.001.0001/actrade-9780192840981,vs40981
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199580989.001.0001/actrade-9780199580989,vs80989
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780199580996.001.0001/actrade-9780199580996,vs80996
http://m.veryshortintroductions.com/mobile/view/10.1093/actrade/9780192840998.001.0001/actrade-9780192840998,vs40998
